date;daily_active_user;monthly_active_user
2023-01-08;53;58
2023-01-09;232;283
2023-01-10;486;708
2023-01-11;571;1173
2023-01-12;816;1831
2023-01-13;890;2545
2023-01-14;1011;3353
2023-01-15;1085;4221
2023-01-16;754;4693
2023-01-17;623;5054
2023-01-18;431;5248
2023-01-19;284;5328
2023-01-20;300;5423
2023-01-21;286;5518
2023-01-22;568;5919
2023-01-23;678;6379
2023-01-24;633;6818
2023-01-25;524;7136
2023-01-26;465;7395
2023-01-27;369;7576
2023-01-28;382;7789
2023-01-29;375;8019
2023-01-30;435;8243
2023-01-31;407;8434
2023-02-01;435;8648
2023-02-02;433;8891
2023-02-03;467;9194
2023-02-04;415;9410
2023-02-05;369;9612
2023-02-06;414;9840
2023-02-07;394;9992
2023-02-08;345;10069
2023-02-09;342;9967
2023-02-10;464;9932
2023-02-11;483;9665
2023-02-12;541;9430
2023-02-13;644;9171
2023-02-14;562;8775
2023-02-15;500;8628
2023-02-16;493;8549
2023-02-17;509;8657
2023-02-18;468;8873
2023-02-19;497;9111
2023-02-20;450;9267
2023-02-21;465;9167
2023-02-22;403;8937
2023-02-23;392;8734
